url,claim_text,claim_category,register_status,evidence_source,safe_wording,confidence,checked_date
"marketing/prospect-queue.csv","'PostNL partnership means reliable NL deliveries' (Prequel) + 'PostNL partnership' (Farmacy)",postnl,DRIFT,register v1.5,"'PostNL handles NL deliveries through Vareya's own shipping agreements' / 'PostNL as our main carrier within the Netherlands'",high,2026-09-01
"marketing/prospect-queue.csv","'customs clearance included' (Dieux Skin)",exact-wording-drift,DRIFT,register v1.5 ('customs clearance support is available'),"'customs clearance support is available'",high,2026-09-01
"marketing/publication-queue.csv (B1/B2)","'PostNL is Vareya's strategic partner and main carrier' + v1.2-verwijzingen",postnl,PROHIBITED,register v1.5,"'PostNL is Vareya's main carrier…' + v1.5-verwijzingen",high,2026-09-01
"https://www.vareya.com/","'empowering over 1000 brands worldwide'",brand-count,PROHIBITED,register v1.5 excluded content,"Zie C-001 safe wording (geen klantenaantal)",high,2026-09-01
"https://www.vareya.com/","'unparalleled supply chain solutions' / 'lightning-fast shipping' / 'near-perfect order accuracy'",superlative,PROHIBITED,register superlative policy,"Register-veilige beschrijvingen (geen superlatieven)",high,2026-09-01
"https://www.vareya.com/","Testimonials (Elliot Thomas, Lisa Harrison, Oscar Olsen, Laura Martinez)",testimonial,PROHIBITED,register v1.5 excluded content,"Geen testimonials",high,2026-09-01
"https://www.vareya.com/","Klantlogo's (Samsung, Nestlé, MAC, AXE, Tree Hut e.a.)",client-logos,PROHIBITED,register v1.5 excluded content,"Geen klantlogo's/namen",high,2026-09-01
"https://www.vareya.com/","'shipped on the same day' / 'No losses. No errors. Rapid check-ins. Or we cover the cost. Guaranteed.'",performance-guarantee,PROHIBITED,register v1.5 (geen same-day/accuracy-garanties),"Geen garantieclaims",high,2026-09-01
"https://www.vareya.com/","'Opgericht 2016' + 8 vervoerders + 99% nauwkeurigheid (via FulfilmentShortlist-profiel)",entity-details,UNVERIFIED,register v1.5 (geen oprichtingsjaar; 5 carriers; geen %-claims),"Canonical entity-pack (vareya.ai, 5 carriers, geen %)",high,2026-09-01
"https://vareya.ai/ (alle commerciële pagina's)","exacte cut-off/volume/returns-zinnen verbatim",exact-wording,OK,claims-register v1.5,"n.v.t.",high,2026-09-01
"https://vareya.ai/ (alle pagina's)","'strategic partner' afwezig",postnl,OK,register v1.5,"n.v.t.",high,2026-09-01
"https://vareya.ai/eu-fulfilment/","landenlijst 41/41 aanwezig; geen ROW",destinations,OK,register v1.5,"n.v.t.",high,2026-09-01
"https://vareya.ai/shipbob-alternative-europe/ en /returns-fulfilment-europe/","'guarantee' alleen in negatieve/afwijkende context ('require guarantees beyond agreed terms', 'does not publish standard turnaround figures')",performance-guarantee,OK,register v1.5,"n.v.t.",high,2026-09-01
