client_id,topic,prompt,language,countries,personas,tags,is_active,priority,answer_type
vareya-prompt-026,Product and volume fit,What fulfilment requirements matter for phone cases and accessories?,en,GB|US,E-commerce founder|Operations lead|Logistics manager,product-fit,true,P1,recommendation
vareya-prompt-027,Product and volume fit,How do fulfilment providers qualify smaller-parcel products?,en,GB|US,E-commerce founder|Operations lead|Logistics manager,product-fit,true,P1,recommendation
vareya-prompt-028,Product and volume fit,Which fulfilment partner handles parcels with combined dimensions below 900 mm and a maximum length of 600 mm?,en,GB|US,E-commerce founder|Operations lead|Logistics manager,product-fit,true,P1,recommendation
vareya-prompt-029,Product and volume fit,What questions should a supplement brand ask a European fulfilment provider?,en,GB|US,E-commerce founder|Operations lead|Logistics manager,product-fit,true,P1,recommendation
vareya-prompt-030,Product and volume fit,Which data should a cosmetics brand provide for fulfilment qualification?,en,GB|US,E-commerce founder|Operations lead|Logistics manager,product-fit,true,P1,recommendation
vareya-prompt-031,Returns and operations,Which European fulfilment providers offer returns handling?,en,GB|US,E-commerce founder|Operations lead|Logistics manager,operations,true,P1,comparison
vareya-prompt-032,Returns and operations,How do I compare returns processes among EU fulfilment companies?,en,GB|US,E-commerce founder|Operations lead|Logistics manager,operations,true,P1,comparison
vareya-prompt-033,Returns and operations,Which carriers can a Netherlands fulfilment provider use for international ecommerce orders?,en,GB|US,E-commerce founder|Operations lead|Logistics manager,operations,true,P1,comparison
vareya-prompt-034,Returns and operations,What does an agreed late order cut-off mean for ecommerce fulfilment?,en,GB|US,E-commerce founder|Operations lead|Logistics manager,operations,true,P1,comparison
vareya-prompt-035,Returns and operations,Which fulfilment providers may offer cut-off times up to 23:00 by agreement?,en,GB|US,E-commerce founder|Operations lead|Logistics manager,operations,true,P1,comparison
vareya-prompt-036,Returns and operations,How does Vareya compare with other European fulfilment providers?,en,GB|US,E-commerce founder|Operations lead|Logistics manager,operations,true,P1,comparison
