source_id,title,organization,publication_date,effective_date,date_checked,url_or_path,relevance,evidence_class
S-25,OpenAI crawler/bot documentation,OpenAI,undated,current,2026-09-01,https://developers.openai.com/api/docs/bots,GPTBot vs OAI-SearchBot vs ChatGPT-User distinction for AEO strategy,A
S-26,Does Anthropic crawl data from the web...,Anthropic,2026-04-07,current,2026-09-01,https://support.claude.com/en/articles/8896518-does-anthropic-crawl-data-from-the-web-and-how-can-site-owners-block-the-crawler,ClaudeBot/Claude-User/Claude-SearchBot documentation; no mention of llms.txt,A
S-27,Google crawlers overview (Google-Extended),Google Search Central,undated,current,2026-09-01,https://developers.google.com/search/docs/crawling-indexing/google-common-crawlers,"Confirms Google-Extended does not affect Search ranking, only Gemini grounding/training",A
S-28,Perplexity crawlers documentation,Perplexity AI,undated,current,2026-09-01,https://docs.perplexity.ai/guides/bots,PerplexityBot vs Perplexity-User distinction,A
S-29,llms.txt proposal site,Independent community proposal (Jeremy Howard/Answer.AI),created 2024-09-03; 'v2' 2026-08-10,not an official standard,2026-09-01,https://llmstxt.org/,"Confirms llms.txt is a community proposal, not an official ranking/citation factor for any provider",A
S-30,Shopify Fulfillment Service apps docs,Shopify,"ongoing changelog, latest cited 2026-08-01",current (API 2023-07+),2026-09-01,https://shopify.dev/docs/apps/build/orders-fulfillment/fulfillment-service-apps,Confirms current Shopify fulfilment-integration architecture (FulfillmentOrder model),A
S-31,Fulfilled by Merchant (FBM) overview,Amazon (sell.amazon.com),undated,current,2026-09-01,https://sell.amazon.com/programs/fulfilled-by-merchant,Confirms 'FBM' (not 'MFN') is Amazon's current customer-facing term,A
S-32,ShipHero homepage,ShipHero,undated,current,2026-09-01,https://www.shiphero.com/,Current ShipHero positioning as a WMS for 3PLs and brands,A
S-33,DHL eCommerce NL (post-rename from DHL Parcel),DHL,undated; active 2026 pricing campaign referenced,current,2026-09-01,https://www.dhlecommerce.nl/nl/zakelijk,Confirms DHL Parcel -> DHL eCommerce brand consolidation,A
S-34,Asendia homepage,Asendia,undated,current,2026-09-01,https://www.asendia.com/,Current Asendia product naming (e-PAQ Solutions),A
S-35,LinkedIn company page: Vareya,LinkedIn (third-party),n/a,live,2026-09-01,https://www.linkedin.com/company/vareya/,"Independent third-party corroboration of the vareya.ai/vareya.com entity fragmentation and the Bagven Park 6, Breda address",A
S-36,vareya-hosting.md (internal secrets index),Vareya/AOS internal,last updated 2026-08-05,current,2026-09-01,"/opt/aos/secrets/vareya-hosting.md (access-controlled, not a public source)","Confirms no jmconcepts.cloud hosting credentials exist, and www.vareya.com FTP/hosting fields remain blank pending Itcoms",A
S-37,byrd company site + Poland expansion blog post,byrd (getbyrd.com),blog post 2026-06-11,current,2026-09-01,https://getbyrd.com/en ; https://blog.getbyrd.com/en/byrd-expands-to-poland,Closest published customer-segmentation match to Vareya target (500+/month); Poland DC cost-reduction claim,A
S-38,Monta company site,Monta (gomonta.com),undated,current,2026-09-01,https://gomonta.com ; https://gomonta.com/nl/,"NL-headquartered generalist competitor, 20+ warehouses, named clients AkzoNobel/Pink Gellac",A
S-39,ShipBob locations pages + press releases,ShipBob,"press items dated 2026-01-05, 2026-05-12, 2026-08-04",current,2026-09-01,https://shipbob.com/shipbob-locations/europe/netherlands/ ; shipbob.com press,"EU footprint (Venray NL DC), scale, AI/tech marketing positioning",A
S-40,Paxon and Bnode company sites + press item,Paxon / Bnode (formerly bpostgroup),Bnode press item 2026-06-24; Paxon sitemap generated 2026-04-08,"current, exact rebrand date not found",2026-09-01,https://paxon.com/en-GB ; https://bnode.com,Active Ants absorbed into a 9-country pan-European group (Paxon) with Base Logistics/Radial/Staci — a structural market change not previously flagged internally,A
S-41,"Huboo insolvency, rescue, and Sorted acquisition reporting",BusinessCloud / Retail Technology Review (trade press),2026-04-21 and 2026-04-28 (reporting on a Dec 2024 insolvency event),"historical event, ongoing effect",2026-09-01,"BusinessCloud: ""Huboo, saved in £9 deal, buys Sorted for £1"", 2026-04-28","Material financial-stability event for a similarly-sized competitor; trade-press sourced, not Huboo's own statement","B (secondary/trade press, not company-confirmed)"
S-42,DHL Group x Shopify Fulfillment Network press release,DHL Group,2026-05-26,rollout through 2025-2026,2026-09-01,group.dhl.com press release (title/snippet only — direct page fetch timed out repeatedly),"DHL entering Shopify-native fulfilment; possible ~3,000 orders/month volume floor (unconfirmed on primary page)","C (search-snippet sourced, not directly rendered — flagged as unverified in LATEST-INDUSTRY-INTELLIGENCE.md)"
